|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:48:00:760 | PARSED-STRING: Mod3CellVoltage5:3892
             | RAW-STRING   : #523892

10:48:00:824 | PARSED-STRING: Mod3CellVoltage6:3913
             | RAW-STRING   : #533913

10:48:00:887 | PARSED-STRING: Mod3CellVoltage7:3892
             | RAW-STRING   : #543892

10:48:00:952 | PARSED-STRING: BatteryVoltage:3913
             | RAW-STRING   : #553913

10:48:01:015 | PARSED-STRING: BatteryCurrent:39689
             | RAW-STRING   : #5639689

10:48:01:079 | PARSED-STRING: BatteryVoltageThresholdRising:36
             | RAW-STRING   : #5736

10:48:01:159 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

10:48:01:207 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

10:48:01:335 | PARSED-STRING: 0
             | RAW-STRING   : #000

10:48:01:416 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

10:48:01:448 | PARSED-STRING: DriverSetCurrent:22635
             | RAW-STRING   : #0222635

10:48:01:512 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

10:48:01:592 | PARSED-STRING: BusCurrentA:37659
             | RAW-STRING   : #0437659

10:48:01:656 | PARSED-STRING: BusVoltage:220336
             | RAW-STRING   : #05220336

10:48:01:704 | PARSED-STRING: MotorVelocityRpm:629
             | RAW-STRING   : #06629

10:48:01:783 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

10:48:01:831 | PARSED-STRING: MotorCurrentReal:15204
             | RAW-STRING   : #0815204

10:48:01:912 | PARSED-STRING: BackEmfImaginary:29693
             | RAW-STRING   : #0929693

10:48:01:959 | PARSED-STRING: DspBoardTemp:31628
             | RAW-STRING   : #1131628

10:48:02:007 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

10:48:02:072 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

10:48:02:152 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

10:48:02:216 | PARSED-STRING: Mod0CellVoltage0:163
             | RAW-STRING   : #17163

10:48:02:279 | PARSED-STRING: Mod0CellVoltage1:3895
             | RAW-STRING   : #183895

10:48:02:344 | PARSED-STRING: Mod0CellVoltage2:3901
             | RAW-STRING   : #193901

10:48:02:392 | PARSED-STRING: Mod0PcbTemperature:3895
             | RAW-STRING   : #203895

10:48:02:471 | PARSED-STRING: Mod0CellVoltage4:3901
             | RAW-STRING   : #213901

10:48:02:520 | PARSED-STRING: Mod0CellVoltage5:8203
             | RAW-STRING   : #228203

10:48:02:584 | PARSED-STRING: Mod0CellVoltage6:3907
             | RAW-STRING   : #233907

10:48:02:648 | PARSED-STRING: Mod0CellVoltage7:8203
             | RAW-STRING   : #248203

10:48:02:712 | PARSED-STRING: Mod1PcbTemperature:3907
             | RAW-STRING   : #253907

10:48:02:775 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

10:48:02:839 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

10:48:02:888 | PARSED-STRING: Mod1CellVoltage1:3898
             | RAW-STRING   : #283898

10:48:02:952 | PARSED-STRING: Mod1CellVoltage2:3895
             | RAW-STRING   : #293895

10:48:03:032 | PARSED-STRING: Mod1CellVoltage3:3898
             | RAW-STRING   : #303898

