|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:43:23:421 | PARSED-STRING: VehicleVelocity:25310
             | RAW-STRING   : #0325310

20:43:23:469 | PARSED-STRING: BusCurrentA:120422
             | RAW-STRING   : #04120422

20:43:23:533 | PARSED-STRING: BusVoltage:195672
             | RAW-STRING   : #05195672

20:43:23:597 | PARSED-STRING: MotorVelocityRpm:2206
             | RAW-STRING   : #062206

20:43:23:661 | PARSED-STRING: MotorVoltageReal:-54
             | RAW-STRING   : #07-54

20:43:23:724 | PARSED-STRING: MotorCurrentReal:10572
             | RAW-STRING   : #0810572

20:43:23:805 | PARSED-STRING: BackEmfImaginary:27891
             | RAW-STRING   : #0927891

20:43:23:853 | PARSED-STRING: DspBoardTemp:31067
             | RAW-STRING   : #1131067

20:43:23:917 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:43:23:965 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:43:24:045 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:43:24:124 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:43:24:157 | PARSED-STRING: Mod0CellVoltage1:3865
             | RAW-STRING   : #183865

20:43:24:236 | PARSED-STRING: Mod0CellVoltage2:3875
             | RAW-STRING   : #193875

20:43:24:285 | PARSED-STRING: Mod0PcbTemperature:3865
             | RAW-STRING   : #203865

20:43:24:364 | PARSED-STRING: Mod0CellVoltage4:3875
             | RAW-STRING   : #213875

20:43:24:412 | PARSED-STRING: Mod0CellVoltage5:3882
             | RAW-STRING   : #223882

20:43:24:476 | PARSED-STRING: Mod0CellVoltage6:3869
             | RAW-STRING   : #233869

20:43:24:540 | PARSED-STRING: Mod0CellVoltage7:3882
             | RAW-STRING   : #243882

20:43:24:604 | PARSED-STRING: Mod1PcbTemperature:3869
             | RAW-STRING   : #253869

20:43:24:652 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:43:24:732 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

20:43:24:796 | PARSED-STRING: Mod1CellVoltage1:3875
             | RAW-STRING   : #283875

20:43:24:860 | PARSED-STRING: Mod1CellVoltage2:3836
             | RAW-STRING   : #293836

20:43:24:924 | PARSED-STRING: Mod1CellVoltage3:3875
             | RAW-STRING   : #303875

20:43:24:972 | PARSED-STRING: Mod1CellVoltage4:3836
             | RAW-STRING   : #313836

20:43:25:051 | PARSED-STRING: Mod1CellVoltage5:3877
             | RAW-STRING   : #323877

20:43:25:131 | PARSED-STRING: Mod1CellVoltage6:-3878
             | RAW-STRING   : #33-3878

20:43:25:164 | PARSED-STRING: Mod1CellVoltage7:3877
             | RAW-STRING   : #343877

20:43:25:227 | PARSED-STRING: Mod2PcbTemperature:-3878
             | RAW-STRING   : #35-3878

20:43:25:292 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:43:25:355 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

20:43:25:420 | PARSED-STRING: Mod2CellVoltage1:3868
             | RAW-STRING   : #383868

20:43:25:468 | PARSED-STRING: Mod2CellVoltage2:3867
             | RAW-STRING   : #393867

20:43:25:531 | PARSED-STRING: Mod2CellVoltage3:3868
             | RAW-STRING   : #403868

20:43:25:595 | PARSED-STRING: Mod2CellVoltage4:3867
             | RAW-STRING   : #413867

20:43:25:659 | PARSED-STRING: Mod2CellVoltage5:3817
             | RAW-STRING   : #423817

20:43:25:724 | PARSED-STRING: Mod2CellVoltage6:3839
             | RAW-STRING   : #433839

20:43:25:804 | PARSED-STRING: Mod2CellVoltage7:3817
             | RAW-STRING   : #443817

20:43:25:851 | PARSED-STRING: Mod3PcbTemperature:3839
             | RAW-STRING   : #453839

20:43:25:915 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:43:25:980 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

20:43:26:043 | PARSED-STRING: Mod3CellVoltage1:3863
             | RAW-STRING   : #483863

20:43:26:107 | PARSED-STRING: Mod3CellVoltage2:3861
             | RAW-STRING   : #493861

20:43:26:171 | PARSED-STRING: Mod3CellVoltage3:3863
             | RAW-STRING   : #503863

20:43:26:235 | PARSED-STRING: Mod3CellVoltage4:3861
             | RAW-STRING   : #513861

20:43:26:283 | PARSED-STRING: Mod3CellVoltage5:3862
             | RAW-STRING   : #523862

20:43:26:347 | PARSED-STRING: Mod3CellVoltage6:3814
             | RAW-STRING   : #533814

20:43:26:411 | PARSED-STRING: Mod3CellVoltage7:3862
             | RAW-STRING   : #543862

20:43:26:474 | PARSED-STRING: BatteryVoltage:3814
             | RAW-STRING   : #553814

20:43:26:539 | PARSED-STRING: BatteryCurrent:122280
             | RAW-STRING   : #56122280

20:43:26:603 | PARSED-STRING: BatteryVoltageThresholdRising:-24261
             | RAW-STRING   : #57-24261

20:43:26:666 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:43:26:731 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

20:43:26:858 | PARSED-STRING: 344029
             | RAW-STRING   : #00344029

20:43:26:907 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:43:26:986 | PARSED-STRING: DriverSetCurrent:19504
             | RAW-STRING   : #0219504

20:43:27:050 | PARSED-STRING: VehicleVelocity:24840
             | RAW-STRING   : #0324840

20:43:27:099 | PARSED-STRING: BusCurrentA:120437
             | RAW-STRING   : #04120437

20:43:27:162 | PARSED-STRING: BusVoltage:189859
             | RAW-STRING   : #05189859

20:43:27:226 | PARSED-STRING: MotorVelocityRpm:2105
             | RAW-STRING   : #062105

20:43:27:290 | PARSED-STRING: MotorVoltageReal:-50
             | RAW-STRING   : #07-50

20:43:27:370 | PARSED-STRING: MotorCurrentReal:10256
             | RAW-STRING   : #0810256

20:43:27:418 | PARSED-STRING: BackEmfImaginary:27964
             | RAW-STRING   : #0927964

20:43:27:482 | PARSED-STRING: DspBoardTemp:31089
             | RAW-STRING   : #1131089

20:43:27:530 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:43:27:594 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:43:27:674 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:43:27:738 | PARSED-STRING: Mod0CellVoltage0:160
             | RAW-STRING   : #17160

20:43:27:785 | PARSED-STRING: Mod0CellVoltage1:3845
             | RAW-STRING   : #183845

20:43:27:850 | PARSED-STRING: Mod0CellVoltage2:3862
             | RAW-STRING   : #193862

20:43:27:914 | PARSED-STRING: Mod0PcbTemperature:3845
             | RAW-STRING   : #203845

20:43:27:962 | PARSED-STRING: Mod0CellVoltage4:3862
             | RAW-STRING   : #213862

20:43:28:041 | PARSED-STRING: Mod0CellVoltage5:3872
             | RAW-STRING   : #223872

20:43:28:106 | PARSED-STRING: Mod0CellVoltage6:3867
             | RAW-STRING   : #233867

20:43:28:154 | PARSED-STRING: Mod0CellVoltage7:3872
             | RAW-STRING   : #243872

20:43:28:234 | PARSED-STRING: Mod1PcbTemperature:3867
             | RAW-STRING   : #253867

20:43:28:298 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:43:28:346 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

20:43:28:410 | PARSED-STRING: Mod1CellVoltage1:3861
             | RAW-STRING   : #283861

20:43:28:490 | PARSED-STRING: Mod1CellVoltage2:3812
             | RAW-STRING   : #293812

20:43:28:538 | PARSED-STRING: Mod1CellVoltage3:3861
             | RAW-STRING   : #303861

20:43:28:602 | PARSED-STRING: Mod1CellVoltage4:3812
             | RAW-STRING   : #313812

20:43:28:665 | PARSED-STRING: Mod1CellVoltage5:3867
             | RAW-STRING   : #323867

20:43:28:729 | PARSED-STRING: Mod1CellVoltage6:3874
             | RAW-STRING   : #333874

20:43:28:793 | PARSED-STRING: Mod1CellVoltage7:3867
             | RAW-STRING   : #343867

20:43:28:857 | PARSED-STRING: Mod2PcbTemperature:3874
             | RAW-STRING   : #353874

20:43:28:905 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:43:28:986 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

20:43:29:033 | PARSED-STRING: Mod2CellVoltage1:3853
             | RAW-STRING   : #383853

20:43:29:098 | PARSED-STRING: Mod2CellVoltage2:3854
             | RAW-STRING   : #393854

20:43:29:177 | PARSED-STRING: Mod2CellVoltage3:3853
             | RAW-STRING   : #403853

20:43:29:241 | PARSED-STRING: Mod2CellVoltage4:3854
             | RAW-STRING   : #413854

20:43:29:289 | PARSED-STRING: Mod2CellVoltage5:3796
             | RAW-STRING   : #423796

20:43:29:353 | PARSED-STRING: Mod2CellVoltage6:3837
             | RAW-STRING   : #433837

20:43:29:417 | PARSED-STRING: Mod2CellVoltage7:3796
             | RAW-STRING   : #443796

20:43:29:464 | PARSED-STRING: Mod3PcbTemperature:3837
             | RAW-STRING   : #453837

20:43:29:545 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:43:29:609 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

20:43:29:673 | PARSED-STRING: Mod3CellVoltage1:3848
             | RAW-STRING   : #483848

20:43:29:737 | PARSED-STRING: Mod3CellVoltage2:3848
             | RAW-STRING   : #493848

20:43:29:801 | PARSED-STRING: Mod3CellVoltage3:3848
             | RAW-STRING   : #503848

20:43:29:848 | PARSED-STRING: Mod3CellVoltage4:3848
             | RAW-STRING   : #513848

20:43:29:928 | PARSED-STRING: Mod3CellVoltage5:3851
             | RAW-STRING   : #523851

20:43:29:992 | PARSED-STRING: Mod3CellVoltage6:3812
             | RAW-STRING   : #533812

20:43:30:040 | PARSED-STRING: Mod3CellVoltage7:3851
             | RAW-STRING   : #543851

20:43:30:104 | PARSED-STRING: BatteryVoltage:3812
             | RAW-STRING   : #553812

20:43:30:184 | PARSED-STRING: BatteryCurrent:122201
             | RAW-STRING   : #56122201

20:43:30:249 | PARSED-STRING: BatteryVoltageThresholdRising:-23855
             | RAW-STRING   : #57-23855

20:43:30:296 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:43:30:344 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

20:43:30:472 | PARSED-STRING: 252307
             | RAW-STRING   : #00252307

20:43:30:536 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:43:30:600 | PARSED-STRING: DriverSetCurrent:21933
             | RAW-STRING   : #0221933

20:43:30:680 | PARSED-STRING: VehicleVelocity:26824
             | RAW-STRING   : #0326824

20:43:30:728 | PARSED-STRING: BusCurrentA:120124
             | RAW-STRING   : #04120124

20:43:30:792 | PARSED-STRING: BusVoltage:213507
             | RAW-STRING   : #05213507

20:43:30:855 | PARSED-STRING: MotorVelocityRpm:2520
             | RAW-STRING   : #062520

20:43:30:904 | PARSED-STRING: MotorVoltageReal:-51
             | RAW-STRING   : #07-51

20:43:30:984 | PARSED-STRING: MotorCurrentReal:11534
             | RAW-STRING   : #0811534

20:43:31:048 | PARSED-STRING: BackEmfImaginary:28120
             | RAW-STRING   : #0928120

20:43:31:096 | PARSED-STRING: DspBoardTemp:31122
             | RAW-STRING   : #1131122

20:43:31:175 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:43:31:240 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:43:31:288 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:43:31:351 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:43:31:415 | PARSED-STRING: Mod0CellVoltage1:3841
             | RAW-STRING   : #183841

20:43:31:479 | PARSED-STRING: Mod0CellVoltage2:3859
             | RAW-STRING   : #193859

20:43:31:527 | PARSED-STRING: Mod0PcbTemperature:3841
             | RAW-STRING   : #203841

20:43:31:607 | PARSED-STRING: Mod0CellVoltage4:3859
             | RAW-STRING   : #213859

20:43:31:671 | PARSED-STRING: Mod0CellVoltage5:3869
             | RAW-STRING   : #223869

20:43:31:719 | PARSED-STRING: Mod0CellVoltage6:3863
             | RAW-STRING   : #233863

20:43:31:799 | PARSED-STRING: Mod0CellVoltage7:3869
             | RAW-STRING   : #243869

20:43:31:847 | PARSED-STRING: Mod1PcbTemperature:3863
             | RAW-STRING   : #253863

20:43:31:911 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:43:31:975 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

