|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:30:00:639 | PARSED-STRING: Mod1CellVoltage2:3885
             | RAW-STRING   : #293885

20:30:00:703 | PARSED-STRING: Mod1CellVoltage3:3895
             | RAW-STRING   : #303895

20:30:00:768 | PARSED-STRING: Mod1CellVoltage4:3885
             | RAW-STRING   : #313885

20:30:00:831 | PARSED-STRING: Mod1CellVoltage5:3902
             | RAW-STRING   : #323902

20:30:00:895 | PARSED-STRING: Mod1CellVoltage6:3913
             | RAW-STRING   : #333913

20:30:00:959 | PARSED-STRING: Mod1CellVoltage7:3902
             | RAW-STRING   : #343902

20:30:01:023 | PARSED-STRING: Mod2PcbTemperature:3913
             | RAW-STRING   : #353913

20:30:01:087 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:30:01:151 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

20:30:01:215 | PARSED-STRING: Mod2CellVoltage1:3890
             | RAW-STRING   : #383890

20:30:01:263 | PARSED-STRING: Mod2CellVoltage2:3891
             | RAW-STRING   : #393891

20:30:01:327 | PARSED-STRING: Mod2CellVoltage3:3890
             | RAW-STRING   : #403890

20:30:01:374 | PARSED-STRING: Mod2CellVoltage4:3891
             | RAW-STRING   : #413891

20:30:01:455 | PARSED-STRING: Mod2CellVoltage5:3883
             | RAW-STRING   : #423883

20:30:01:519 | PARSED-STRING: Mod2CellVoltage6:3874
             | RAW-STRING   : #433874

20:30:01:567 | PARSED-STRING: Mod2CellVoltage7:3883
             | RAW-STRING   : #443883

20:30:01:647 | PARSED-STRING: Mod3PcbTemperature:3874
             | RAW-STRING   : #453874

20:30:01:695 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:30:01:774 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

20:30:01:839 | PARSED-STRING: Mod3CellVoltage1:3884
             | RAW-STRING   : #483884

20:30:01:887 | PARSED-STRING: Mod3CellVoltage2:3887
             | RAW-STRING   : #493887

20:30:01:951 | PARSED-STRING: Mod3CellVoltage3:3884
             | RAW-STRING   : #503884

20:30:02:031 | PARSED-STRING: Mod3CellVoltage4:3887
             | RAW-STRING   : #513887

20:30:02:078 | PARSED-STRING: Mod3CellVoltage5:3890
             | RAW-STRING   : #523890

20:30:02:142 | PARSED-STRING: Mod3CellVoltage6:3903
             | RAW-STRING   : #533903

20:30:02:191 | PARSED-STRING: Mod3CellVoltage7:3890
             | RAW-STRING   : #543890

20:30:02:287 | PARSED-STRING: BatteryVoltage:3903
             | RAW-STRING   : #553903

20:30:02:334 | PARSED-STRING: BatteryCurrent:124141
             | RAW-STRING   : #56124141

20:30:02:382 | PARSED-STRING: BatteryVoltageThresholdRising:-3353
