|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:19:17:766 | PARSED-STRING: Mod1CellVoltage1:3848
             | RAW-STRING   : #283848

20:19:17:829 | PARSED-STRING: Mod1CellVoltage2:3783
             | RAW-STRING   : #293783

20:19:17:894 | PARSED-STRING: Mod1CellVoltage3:3848
             | RAW-STRING   : #303848

20:19:17:958 | PARSED-STRING: Mod1CellVoltage4:3783
             | RAW-STRING   : #313783

20:19:18:022 | PARSED-STRING: Mod1CellVoltage5:3854
             | RAW-STRING   : #323854

20:19:18:085 | PARSED-STRING: Mod1CellVoltage6:3860
             | RAW-STRING   : #333860

20:19:18:149 | PARSED-STRING: Mod1CellVoltage7:3854
             | RAW-STRING   : #343854

20:19:18:213 | PARSED-STRING: Mod2PcbTemperature:3860
             | RAW-STRING   : #353860

20:19:18:277 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:19:18:341 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:19:18:373 | PARSED-STRING: Mod2CellVoltage1:3840
             | RAW-STRING   : #383840

20:19:18:453 | PARSED-STRING: Mod2CellVoltage2:3841
             | RAW-STRING   : #393841

20:19:18:517 | PARSED-STRING: Mod2CellVoltage3:3840
             | RAW-STRING   : #403840

20:19:18:581 | PARSED-STRING: Mod2CellVoltage4:3841
             | RAW-STRING   : #413841

20:19:18:645 | PARSED-STRING: Mod2CellVoltage5:3763
             | RAW-STRING   : #423763

20:19:18:709 | PARSED-STRING: Mod2CellVoltage6:3824
             | RAW-STRING   : #433824

20:19:18:773 | PARSED-STRING: Mod2CellVoltage7:3763
             | RAW-STRING   : #443763

20:19:18:837 | PARSED-STRING: Mod3PcbTemperature:3824
             | RAW-STRING   : #453824

20:19:18:885 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:19:18:949 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

20:19:19:013 | PARSED-STRING: Mod3CellVoltage1:3835
             | RAW-STRING   : #483835

20:19:19:077 | PARSED-STRING: Mod3CellVoltage2:3833
             | RAW-STRING   : #493833

20:19:19:157 | PARSED-STRING: Mod3CellVoltage3:3835
             | RAW-STRING   : #503835

20:19:19:204 | PARSED-STRING: Mod3CellVoltage4:3833
             | RAW-STRING   : #513833

20:19:19:269 | PARSED-STRING: Mod3CellVoltage5:3838
             | RAW-STRING   : #523838

20:19:19:332 | PARSED-STRING: Mod3CellVoltage6:3777
             | RAW-STRING   : #533777

20:19:19:396 | PARSED-STRING: Mod3CellVoltage7:3838
             | RAW-STRING   : #543838

20:19:19:476 | PARSED-STRING: BatteryVoltage:3777
             | RAW-STRING   : #553777

20:19:19:524 | PARSED-STRING: BatteryCurrent:122121
             | RAW-STRING   : #56122121

20:19:19:573 | PARSED-STRING: BatteryVoltageThresholdRising:-25478
             | RAW-STRING   : #57-25478

20:19:19:652 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

20:19:19:700 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

20:19:19:828 | PARSED-STRING: 200341
             | RAW-STRING   : #00200341

20:19:19:892 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

20:19:19:956 | PARSED-STRING: DriverSetCurrent:25428
             | RAW-STRING   : #0225428

20:19:20:020 | PARSED-STRING: VehicleVelocity:-10508
             | RAW-STRING   : #03-10508

20:19:20:084 | PARSED-STRING: BusCurrentA:126241
             | RAW-STRING   : #04126241

20:19:20:148 | PARSED-STRING: BusVoltage:247527
             | RAW-STRING   : #05247527

