|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
20:22:45:607 | PARSED-STRING: BusCurrentA:126241
             | RAW-STRING   : #04126241

20:22:45:671 | PARSED-STRING: BusVoltage:247527
             | RAW-STRING   : #05247527

20:22:45:735 | PARSED-STRING: MotorVelocityRpm:-2233
             | RAW-STRING   : #06-2233

20:22:45:783 | PARSED-STRING: MotorVoltageReal:-17
             | RAW-STRING   : #07-17

20:22:45:847 | PARSED-STRING: MotorCurrentReal:13368
             | RAW-STRING   : #0813368

20:22:45:927 | PARSED-STRING: BackEmfImaginary:27350
             | RAW-STRING   : #0927350

20:22:46:022 | PARSED-STRING: DspBoardTemp:30991
             | RAW-STRING   : #1130991

20:22:46:054 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

20:22:46:102 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

20:22:46:167 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

20:22:46:230 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

20:22:46:294 | PARSED-STRING: Mod0CellVoltage1:3860
             | RAW-STRING   : #183860

20:22:46:358 | PARSED-STRING: Mod0CellVoltage2:3920
             | RAW-STRING   : #193920

20:22:46:422 | PARSED-STRING: Mod0PcbTemperature:3860
             | RAW-STRING   : #203860

20:22:46:471 | PARSED-STRING: Mod0CellVoltage4:3920
             | RAW-STRING   : #213920

20:22:46:550 | PARSED-STRING: Mod0CellVoltage5:3932
             | RAW-STRING   : #223932

20:22:46:598 | PARSED-STRING: Mod0CellVoltage6:3927
             | RAW-STRING   : #233927

20:22:46:678 | PARSED-STRING: Mod0CellVoltage7:3932
             | RAW-STRING   : #243932

20:22:46:742 | PARSED-STRING: Mod1PcbTemperature:3927
             | RAW-STRING   : #253927

20:22:46:791 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

20:22:46:854 | PARSED-STRING: Mod1CellVoltage0:165
             | RAW-STRING   : #27165

20:22:46:918 | PARSED-STRING: Mod1CellVoltage1:3866
             | RAW-STRING   : #283866

20:22:46:982 | PARSED-STRING: Mod1CellVoltage2:3938
             | RAW-STRING   : #293938

20:22:47:046 | PARSED-STRING: Mod1CellVoltage3:3866
             | RAW-STRING   : #303866

20:22:47:110 | PARSED-STRING: Mod1CellVoltage4:3938
             | RAW-STRING   : #313938

20:22:47:174 | PARSED-STRING: Mod1CellVoltage5:3924
             | RAW-STRING   : #323924

20:22:47:222 | PARSED-STRING: Mod1CellVoltage6:3935
             | RAW-STRING   : #333935

20:22:47:302 | PARSED-STRING: Mod1CellVoltage7:3924
             | RAW-STRING   : #343924

20:22:47:350 | PARSED-STRING: Mod2PcbTemperature:3935
             | RAW-STRING   : #353935

20:22:47:414 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

20:22:47:478 | PARSED-STRING: Mod2CellVoltage0:176
             | RAW-STRING   : #37176

20:22:47:542 | PARSED-STRING: Mod2CellVoltage1:3866
             | RAW-STRING   : #383866

20:22:47:605 | PARSED-STRING: Mod2CellVoltage2:3914
             | RAW-STRING   : #393914

20:22:47:669 | PARSED-STRING: Mod2CellVoltage3:3866
             | RAW-STRING   : #403866

20:22:47:733 | PARSED-STRING: Mod2CellVoltage4:3914
             | RAW-STRING   : #413914

20:22:47:797 | PARSED-STRING: Mod2CellVoltage5:3945
             | RAW-STRING   : #423945

20:22:47:861 | PARSED-STRING: Mod2CellVoltage6:3895
             | RAW-STRING   : #433895

20:22:47:925 | PARSED-STRING: Mod2CellVoltage7:3945
             | RAW-STRING   : #443945

20:22:47:973 | PARSED-STRING: Mod3PcbTemperature:3895
             | RAW-STRING   : #453895

20:22:48:037 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

20:22:48:117 | PARSED-STRING: Mod3CellVoltage0:180
             | RAW-STRING   : #47180

20:22:48:181 | PARSED-STRING: Mod3CellVoltage1:3859
             | RAW-STRING   : #483859

20:22:48:229 | PARSED-STRING: Mod3CellVoltage2:3910
             | RAW-STRING   : #493910

