|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
            |RAW-STRING:    #269737

16:44:35:585|PARSED-STRING: Mod1CellVoltage0:168
            |RAW-STRING:    #27168

16:44:35:648|PARSED-STRING: Mod1CellVoltage1:3898
            |RAW-STRING:    #283898

16:44:35:728|PARSED-STRING: Mod1CellVoltage2:3895
            |RAW-STRING:    #293895

16:44:35:776|PARSED-STRING: Mod1CellVoltage3:3898
            |RAW-STRING:    #303898

16:44:35:840|PARSED-STRING: Mod1CellVoltage4:3895
            |RAW-STRING:    #313895

16:44:35:920|PARSED-STRING: Mod1CellVoltage5:3906
            |RAW-STRING:    #323906

16:44:35:984|PARSED-STRING: Mod1CellVoltage6:3916
            |RAW-STRING:    #333916

16:44:36:032|PARSED-STRING: Mod1CellVoltage7:3906
            |RAW-STRING:    #343906

16:44:36:096|PARSED-STRING: Mod2PcbTemperature:3916
            |RAW-STRING:    #353916

16:44:36:144|PARSED-STRING: Mod2CellTemperature:3035
            |RAW-STRING:    #363035

16:44:36:224|PARSED-STRING: Mod2CellVoltage0:179
            |RAW-STRING:    #37179

16:44:36:272|PARSED-STRING: Mod2CellVoltage1:3894
            |RAW-STRING:    #383894

16:44:36:352|PARSED-STRING: Mod2CellVoltage2:3895
            |RAW-STRING:    #393895

16:44:36:400|PARSED-STRING: Mod2CellVoltage3:3894
            |RAW-STRING:    #403894

16:44:36:464|PARSED-STRING: Mod2CellVoltage4:3895
            |RAW-STRING:    #413895

16:44:36:528|PARSED-STRING: Mod2CellVoltage5:3896
            |RAW-STRING:    #423896

16:44:36:592|PARSED-STRING: Mod2CellVoltage6:3877
            |RAW-STRING:    #433877

16:44:36:656|PARSED-STRING: Mod2CellVoltage7:3896
            |RAW-STRING:    #443896

16:44:36:720|PARSED-STRING: Mod3PcbTemperature:3877
            |RAW-STRING:    #453877

16:44:36:768|PARSED-STRING: Mod3CellTemperature:3039
            |RAW-STRING:    #463039

16:44:36:848|PARSED-STRING: Mod3CellVoltage0:182
            |RAW-STRING:    #47182

16:44:36:896|PARSED-STRING: Mod3CellVoltage1:3888
            |RAW-STRING:    #483888

16:44:36:976|PARSED-STRING: Mod3CellVoltage2:3891
            |RAW-STRING:    #493891

16:44:37:009|PARSED-STRING: Mod3CellVoltage3:3888
            |RAW-STRING:    #503888

16:44:37:088|PARSED-STRING: Mod3CellVoltage4:3891
            |RAW-STRING:    #513891

16:44:37:136|PARSED-STRING: Mod3CellVoltage5:3893
            |RAW-STRING:    #523893

16:44:37:258|PARSED-STRING: Mod3CellVoltage6:3915
            |RAW-STRING:    #533915

16:44:37:296|PARSED-STRING: Mod3CellVoltage7:3893
            |RAW-STRING:    #543893

16:44:37:343|PARSED-STRING: BatteryVoltage:3915
            |RAW-STRING:    #553915

16:44:37:391|PARSED-STRING: BatteryCurrent:26459
            |RAW-STRING:    #5626459

16:44:37:471|PARSED-STRING: BatteryVoltageThresholdRising:23
            |RAW-STRING:    #5723

16:44:37:519|PARSED-STRING: BatteryVoltageThresholdFalling:235933700
            |RAW-STRING:    #58235933700

16:44:37:583|PARSED-STRING: 57279619
            |RAW-STRING:    #5957279619

16:44:37:728|PARSED-STRING: 0
            |RAW-STRING:    #000

16:44:37:775|PARSED-STRING: DriverSetSpeedRPM:0
            |RAW-STRING:    #010

16:44:37:839|PARSED-STRING: DriverSetCurrent:553
            |RAW-STRING:    #02553

16:44:37:903|PARSED-STRING: VehicleVelocity:0
            |RAW-STRING:    #030

16:44:37:967|PARSED-STRING: BusCurrentA:18489
            |RAW-STRING:    #0418489

16:44:38:047|PARSED-STRING: BusVoltage:5388
            |RAW-STRING:    #055388

16:44:38:095|PARSED-STRING: MotorVelocityRpm:-5
            |RAW-STRING:    #06-5

16:44:38:144|PARSED-STRING: MotorVoltageReal:0
            |RAW-STRING:    #070

16:44:38:223|PARSED-STRING: MotorCurrentReal:320
            |RAW-STRING:    #08320

16:44:38:271|PARSED-STRING: BackEmfImaginary:29851
            |RAW-STRING:    #0929851

16:44:38:351|PARSED-STRING: DspBoardTemp:31738
            |RAW-STRING:    #1131738

16:44:38:383|PARSED-STRING: TransmittedErrorCount:0
            |RAW-STRING:    #140

16:44:38:464|PARSED-STRING: Mod0PcbTemperature:0
            |RAW-STRING:    #150

16:44:38:543|PARSED-STRING: Mod0CellTemperature:3038
            |RAW-STRING:    #163038

