|======================Wed Nov 26 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
18:17:39:222 | PARSED-STRING: Mod0CellVoltage7:3882
             | RAW-STRING   : #243882

18:17:39:286 | PARSED-STRING: Mod1PcbTemperature:3869
             | RAW-STRING   : #253869

18:17:39:367 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:39:430 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

18:17:39:462 | PARSED-STRING: Mod1CellVoltage1:3875
             | RAW-STRING   : #283875

18:17:39:542 | PARSED-STRING: Mod1CellVoltage2:3836
             | RAW-STRING   : #293836

18:17:39:590 | PARSED-STRING: Mod1CellVoltage3:3875
             | RAW-STRING   : #303875

18:17:39:670 | PARSED-STRING: Mod1CellVoltage4:3836
             | RAW-STRING   : #313836

18:17:39:718 | PARSED-STRING: Mod1CellVoltage5:3877
             | RAW-STRING   : #323877

18:17:39:798 | PARSED-STRING: Mod1CellVoltage6:-3878
             | RAW-STRING   : #33-3878

18:17:39:846 | PARSED-STRING: Mod1CellVoltage7:3877
             | RAW-STRING   : #343877

18:17:39:910 | PARSED-STRING: Mod2PcbTemperature:-3878
             | RAW-STRING   : #35-3878

18:17:39:990 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:40:038 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

18:17:40:102 | PARSED-STRING: Mod2CellVoltage1:3868
             | RAW-STRING   : #383868

18:17:40:166 | PARSED-STRING: Mod2CellVoltage2:3867
             | RAW-STRING   : #393867

18:17:40:230 | PARSED-STRING: Mod2CellVoltage3:3868
             | RAW-STRING   : #403868

18:17:40:278 | PARSED-STRING: Mod2CellVoltage4:3867
             | RAW-STRING   : #413867

18:17:40:342 | PARSED-STRING: Mod2CellVoltage5:3817
             | RAW-STRING   : #423817

18:17:40:421 | PARSED-STRING: Mod2CellVoltage6:3839
             | RAW-STRING   : #433839

18:17:40:485 | PARSED-STRING: Mod2CellVoltage7:3817
             | RAW-STRING   : #443817

18:17:40:549 | PARSED-STRING: Mod3PcbTemperature:3839
             | RAW-STRING   : #453839

18:17:40:597 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

18:17:40:645 | PARSED-STRING: Mod3CellVoltage0:181
             | RAW-STRING   : #47181

18:17:40:726 | PARSED-STRING: Mod3CellVoltage1:3863
             | RAW-STRING   : #483863

18:17:40:790 | PARSED-STRING: Mod3CellVoltage2:3861
             | RAW-STRING   : #493861

18:17:40:853 | PARSED-STRING: Mod3CellVoltage3:3863
             | RAW-STRING   : #503863

18:17:40:917 | PARSED-STRING: Mod3CellVoltage4:3861
             | RAW-STRING   : #513861

18:17:40:965 | PARSED-STRING: Mod3CellVoltage5:3862
             | RAW-STRING   : #523862

18:17:41:045 | PARSED-STRING: Mod3CellVoltage6:3814
             | RAW-STRING   : #533814

18:17:41:093 | PARSED-STRING: Mod3CellVoltage7:3862
             | RAW-STRING   : #543862

18:17:41:157 | PARSED-STRING: BatteryVoltage:3814
             | RAW-STRING   : #553814

18:17:41:221 | PARSED-STRING: BatteryCurrent:122280
             | RAW-STRING   : #56122280

18:17:41:285 | PARSED-STRING: BatteryVoltageThresholdRising:-24261
             | RAW-STRING   : #57-24261

18:17:41:349 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

18:17:41:429 | PARSED-STRING: 57279624
             | RAW-STRING   : #5957279624

18:17:41:541 | PARSED-STRING: 344029
             | RAW-STRING   : #00344029

18:17:41:605 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

18:17:41:669 | PARSED-STRING: DriverSetCurrent:19504
             | RAW-STRING   : #0219504

18:17:41:733 | PARSED-STRING: VehicleVelocity:24840
             | RAW-STRING   : #0324840

18:17:41:781 | PARSED-STRING: BusCurrentA:120437
             | RAW-STRING   : #04120437

18:17:41:844 | PARSED-STRING: BusVoltage:189859
             | RAW-STRING   : #05189859

18:17:41:924 | PARSED-STRING: MotorVelocityRpm:2105
             | RAW-STRING   : #062105

18:17:41:973 | PARSED-STRING: MotorVoltageReal:-50
             | RAW-STRING   : #07-50

18:17:42:036 | PARSED-STRING: MotorCurrentReal:10256
             | RAW-STRING   : #0810256

18:17:42:100 | PARSED-STRING: BackEmfImaginary:27964
             | RAW-STRING   : #0927964

18:17:42:180 | PARSED-STRING: DspBoardTemp:31089
             | RAW-STRING   : #1131089

18:17:42:229 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

18:17:42:308 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

18:17:42:357 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

18:17:42:405 | PARSED-STRING: Mod0CellVoltage0:160
             | RAW-STRING   : #17160

18:17:42:468 | PARSED-STRING: Mod0CellVoltage1:3845
             | RAW-STRING   : #183845

18:17:42:532 | PARSED-STRING: Mod0CellVoltage2:3862
             | RAW-STRING   : #193862

18:17:42:596 | PARSED-STRING: Mod0PcbTemperature:3845
             | RAW-STRING   : #203845

18:17:42:661 | PARSED-STRING: Mod0CellVoltage4:3862
             | RAW-STRING   : #213862

18:17:42:740 | PARSED-STRING: Mod0CellVoltage5:3872
             | RAW-STRING   : #223872

18:17:42:788 | PARSED-STRING: Mod0CellVoltage6:3867
             | RAW-STRING   : #233867

18:17:42:852 | PARSED-STRING: Mod0CellVoltage7:3872
             | RAW-STRING   : #243872

18:17:42:916 | PARSED-STRING: Mod1PcbTemperature:3867
             | RAW-STRING   : #253867

18:17:42:980 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

18:17:43:044 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

18:17:43:108 | PARSED-STRING: Mod1CellVoltage1:3861
             | RAW-STRING   : #283861

18:17:43:156 | PARSED-STRING: Mod1CellVoltage2:3812
             | RAW-STRING   : #293812

18:17:43:235 | PARSED-STRING: Mod1CellVoltage3:3861
             | RAW-STRING   : #303861

18:17:43:284 | PARSED-STRING: Mod1CellVoltage4:3812
             | RAW-STRING   : #313812

18:17:43:348 | PARSED-STRING: Mod1CellVoltage5:3867
             | RAW-STRING   : #323867

18:17:43:428 | PARSED-STRING: Mod1CellVoltage6:3874
             | RAW-STRING   : #333874

18:17:43:475 | PARSED-STRING: Mod1CellVoltage7:3867
             | RAW-STRING   : #343867

18:17:43:539 | PARSED-STRING: Mod2PcbTemperature:3874
             | RAW-STRING   : #353874

18:17:43:604 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

18:17:43:652 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

18:17:43:731 | PARSED-STRING: Mod2CellVoltage1:3853
             | RAW-STRING   : #383853

18:17:43:795 | PARSED-STRING: Mod2CellVoltage2:3854
             | RAW-STRING   : #393854

18:17:43:844 | PARSED-STRING: Mod2CellVoltage3:3853
             | RAW-STRING   : #403853

18:17:43:923 | PARSED-STRING: Mod2CellVoltage4:3854
             | RAW-STRING   : #413854

18:17:43:972 | PARSED-STRING: Mod2CellVoltage5:3796
             | RAW-STRING   : #423796

18:17:44:035 | PARSED-STRING: Mod2CellVoltage6:3837
             | RAW-STRING   : #433837

