|======================Sat Nov 22 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
16:46:21:656 | PARSED-STRING: Mod3CellVoltage7:3891
             | RAW-STRING   : #543891

16:46:21:720 | PARSED-STRING: BatteryVoltage:3903
             | RAW-STRING   : #553903

16:46:21:784 | PARSED-STRING: BatteryCurrent:124157
             | RAW-STRING   : #56124157

16:46:21:848 | PARSED-STRING: BatteryVoltageThresholdRising:-2933
             | RAW-STRING   : #57-2933

16:46:21:912 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

16:46:21:976 | PARSED-STRING: 57279616
             | RAW-STRING   : #5957279616

16:46:22:088 | PARSED-STRING: 200781
             | RAW-STRING   : #00200781

16:46:22:152 | PARSED-STRING: DriverSetSpeedRPM:817
             | RAW-STRING   : #01817

16:46:22:216 | PARSED-STRING: DriverSetCurrent:20880
             | RAW-STRING   : #0220880

16:46:22:280 | PARSED-STRING: VehicleVelocity:4350
             | RAW-STRING   : #034350

16:46:22:345 | PARSED-STRING: BusCurrentA:123837
             | RAW-STRING   : #04123837

16:46:22:408 | PARSED-STRING: BusVoltage:203253
             | RAW-STRING   : #05203253

16:46:22:472 | PARSED-STRING: MotorVelocityRpm:506
             | RAW-STRING   : #06506

16:46:22:520 | PARSED-STRING: MotorVoltageReal:-7
             | RAW-STRING   : #07-7

16:46:22:600 | PARSED-STRING: MotorCurrentReal:10980
             | RAW-STRING   : #0810980

16:46:22:664 | PARSED-STRING: BackEmfImaginary:27662
             | RAW-STRING   : #0927662

16:46:22:712 | PARSED-STRING: DspBoardTemp:31034
             | RAW-STRING   : #1131034

16:46:22:776 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

16:46:22:840 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

16:46:22:904 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

16:46:22:968 | PARSED-STRING: Mod0CellVoltage0:159
             | RAW-STRING   : #17159

16:46:23:032 | PARSED-STRING: Mod0CellVoltage1:3891
             | RAW-STRING   : #183891

16:46:23:096 | PARSED-STRING: Mod0CellVoltage2:3898
             | RAW-STRING   : #193898

16:46:23:478 | PARSED-STRING: Mod0PcbTemperature:3891
             | RAW-STRING   : #203891

16:46:23:478 | PARSED-STRING: Mod0CellVoltage4:3898
             | RAW-STRING   : #213898

16:46:23:478 | PARSED-STRING: Mod0CellVoltage5:3909
             | RAW-STRING   : #223909

16:46:23:478 | PARSED-STRING: Mod0CellVoltage6:3905
             | RAW-STRING   : #233905

16:46:23:478 | PARSED-STRING: Mod0CellVoltage7:3909
             | RAW-STRING   : #243909

16:46:23:483 | PARSED-STRING: Mod1PcbTemperature:3905
             | RAW-STRING   : #253905

16:46:23:528 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

16:46:23:592 | PARSED-STRING: Mod1CellVoltage0:166
             | RAW-STRING   : #27166

16:46:23:656 | PARSED-STRING: Mod1CellVoltage1:3895
             | RAW-STRING   : #283895

16:46:23:720 | PARSED-STRING: Mod1CellVoltage2:3885
             | RAW-STRING   : #293885

16:46:23:784 | PARSED-STRING: Mod1CellVoltage3:3895
             | RAW-STRING   : #303895

16:46:23:848 | PARSED-STRING: Mod1CellVoltage4:3885
             | RAW-STRING   : #313885

16:46:23:911 | PARSED-STRING: Mod1CellVoltage5:3902
             | RAW-STRING   : #323902

16:46:23:960 | PARSED-STRING: Mod1CellVoltage6:3913
             | RAW-STRING   : #333913

16:46:24:040 | PARSED-STRING: Mod1CellVoltage7:3902
             | RAW-STRING   : #343902

16:46:24:104 | PARSED-STRING: Mod2PcbTemperature:3913
             | RAW-STRING   : #353913

16:46:24:168 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

16:46:24:216 | PARSED-STRING: Mod2CellVoltage0:177
             | RAW-STRING   : #37177

16:46:24:279 | PARSED-STRING: Mod2CellVoltage1:3890
             | RAW-STRING   : #383890

16:46:24:344 | PARSED-STRING: Mod2CellVoltage2:3891
             | RAW-STRING   : #393891

16:46:24:407 | PARSED-STRING: Mod2CellVoltage3:3890
             | RAW-STRING   : #403890

16:46:24:472 | PARSED-STRING: Mod2CellVoltage4:3891
             | RAW-STRING   : #413891

16:46:24:535 | PARSED-STRING: Mod2CellVoltage5:3883
             | RAW-STRING   : #423883

16:46:24:599 | PARSED-STRING: Mod2CellVoltage6:3874
             | RAW-STRING   : #433874

16:46:24:647 | PARSED-STRING: Mod2CellVoltage7:3883
             | RAW-STRING   : #443883

16:46:24:809 | PARSED-STRING: Mod3PcbTemperature:3874
             | RAW-STRING   : #453874

16:46:24:809 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

