14:37:36:650, 1, 0, 0, 0, 126.126, 0, 
14:37:36:678, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:36:678, 5, 1, 34.9, -40, 3.932, 3.936, 3.982, 3.965, 3.952, 3.972, 3.989, 4.003, 
14:37:36:678, 6, Helianthus, 3, 1f, 0, 0, 0, 0, Static, 
14:37:37:142, 1, 0, 0, 0, 126.11, 0, 
14:37:37:159, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:37:159, 5, 2, 36.9, -40, 3.925, 3.913, 3.93, 3.943, 3.998, 3.96, 3.945, 4.008, 
14:37:37:159, 6, Helianthus, 4, 1f, 0, 0, 0, 0, Static, 
14:37:37:632, 1, 0, 0, 0, 126.126, 0, 
14:37:37:680, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:37:681, 5, 3, 35.9, -40, 3.938, 3.931, 3.923, 3.812, 3.93, 3.95, 3.977, 4.004, 
14:37:37:681, 6, Helianthus, 5, 1f, 0, 0, 0, 0, Static, 
14:37:38:118, 1, 0, 0, 0, 126.12, 0, 
14:37:38:141, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:38:141, 6, Helianthus, 6, 1f, 0, 0, 0, 0, Static, 
14:37:38:609, 1, 0, 0, 0, 126.113, 0, 
14:37:38:627, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:38:627, 2, 0, 0.0860691, 0, 0, 43.7274, 0, 0, 
14:37:38:627, 6, Dilithium, 0, 7, 0, 0, 0, 0, Invalid mode, 
14:37:39:097, 1, 0, 0, 0, 126.112, 0, 
14:37:39:115, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
14:37:39:115, 4, 126.224, 1.989, 1, 0, 0, 
14:37:39:116, 6, Dilithium, 1, 7, 0, 0, 0, 0, Invalid mode, 
14:37:39:589, 1, 0, 0, 0, 126.125, 0, 
14:37:39:607, 3, 0x0, 0x0, 0x0, 0x0, 0x180, 0, 0, 
